Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,reps,feedback,filename
Exposure,Filler,1,1,02,America,Set A,Word,Female,Left,Wominid,Set A,Nonword,Male,Right,1,FALSE,Critical_W.America.F.L_N.Wominid.M.R.wav
Exposure,Filler,1,1,01,Wojalto,Set B,Nonword,Female,Right,Bakery,Set B,Word,Male,Left,1,FALSE,Critical_W.Bakery.M.L_N.Wojalto.F.R.wav
Exposure,Filler,1,1,04,Youmgel,Set C,Nonword,Female,Left,Ballerina,Set C,Word,Male,Right,1,FALSE,Critical_N.Youmgel.F.L_W.Ballerina.M.R.wav
Exposure,Filler,1,2,02,Blueberry,Set A,Word,Female,Left,Ungelnin,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Blueberry.F.L_N.Ungelnin.M.R.wav
Exposure,Filler,1,2,01,Tounamplem,Set B,Nonword,Female,Right,Bullying,Set B,Word,Male,Left,1,FALSE,Critical_W.Bullying.M.L_N.Tounamplem.F.R.wav
Exposure,Filler,1,2,04,Tymolape,Set C,Nonword,Female,Left,Burglary,Set C,Word,Male,Right,1,FALSE,Critical_N.Tymolape.F.L_W.Burglary.M.R.wav
Exposure,Filler,1,3,02,Camera,Set A,Word,Female,Left,Tilegkalo,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Camera.F.L_N.Tilegkalo.M.R.wav
Exposure,Filler,1,3,01,Ryligal,Set B,Nonword,Female,Right,Continually,Set B,Word,Male,Left,1,FALSE,Critical_W.Continually.M.L_N.Ryligal.F.R.wav
Exposure,Filler,1,3,04,Tamical,Set C,Nonword,Female,Left,Domineering,Set C,Word,Male,Right,1,FALSE,Critical_N.Tamical.F.L_W.Domineering.M.R.wav
Exposure,Filler,1,4,02,Directory,Set A,Word,Female,Left,Rimkeluwar,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Directory.F.L_N.Rimkeluwar.M.R.wav
Exposure,Filler,1,4,01,Rawamtee,Set B,Nonword,Female,Right,Document,Set B,Word,Male,Left,1,FALSE,Critical_W.Document.M.L_N.Rawamtee.F.R.wav
Exposure,Filler,1,4,04,Rengime,Set C,Nonword,Female,Left,Embody,Set C,Word,Male,Right,1,FALSE,Critical_N.Rengime.F.L_W.Embody.M.R.wav
Exposure,Filler,1,5,02,Dynamite,Set A,Word,Female,Left,Rakil,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Dynamite.F.L_N.Rakil.M.R.wav
Exposure,Filler,1,5,01,Ploupelai,Set B,Nonword,Female,Right,Eighty,Set B,Word,Male,Left,1,FALSE,Critical_W.Eighty.M.L_N.Ploupelai.F.R.wav
Exposure,Filler,1,5,04,Pourilar,Set C,Nonword,Female,Left,Gullible,Set C,Word,Male,Right,1,FALSE,Critical_N.Pourilar.F.L_W.Gullible.M.R.wav
Exposure,Filler,1,6,02,Gardenia,Set A,Word,Female,Left,Perkum,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Gardenia.F.L_N.Perkum.M.R.wav
Exposure,Filler,1,6,01,Omperoge,Set B,Nonword,Female,Right,Grammatical,Set B,Word,Male,Left,1,FALSE,Critical_W.Grammatical.M.L_N.Omperoge.F.R.wav
Exposure,Filler,1,6,04,Almikquary,Set C,Nonword,Female,Left,Honeymoon,Set C,Word,Male,Right,1,FALSE,Critical_N.Almikquary.F.L_W.Honeymoon.M.R.wav
Exposure,Filler,1,7,02,Hamburger,Set A,Word,Female,Left,Nomerae,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Hamburger.F.L_N.Nomerae.M.R.wav
Exposure,Filler,1,7,01,Nempring,Set B,Nonword,Female,Right,Identical,Set B,Word,Male,Left,1,FALSE,Critical_W.Identical.M.L_N.Nempring.F.R.wav
Exposure,Filler,1,7,04,Niritaly,Set C,Nonword,Female,Left,Illuminate,Set C,Word,Male,Right,1,FALSE,Critical_N.Niritaly.F.L_W.Illuminate.M.R.wav
Exposure,Filler,1,8,02,Hurdle,Set A,Word,Female,Left,Namuary,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Hurdle.F.L_N.Namuary.M.R.wav
Exposure,Filler,1,8,01,Mibgem,Set B,Nonword,Female,Right,Interior,Set B,Word,Male,Left,1,FALSE,Critical_W.Interior.M.L_N.Mibgem.F.R.wav
Exposure,Filler,1,8,04,Makid,Set C,Nonword,Female,Left,Ironic,Set C,Word,Male,Right,1,FALSE,Critical_N.Makid.F.L_W.Ironic.M.R.wav
Exposure,Filler,1,9,02,Inhabit,Set A,Word,Female,Left,Logelai,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Inhabit.F.L_N.Logelai.M.R.wav
Exposure,Filler,1,9,01,Meidnow,Set B,Nonword,Female,Right,Knowingly,Set B,Word,Male,Left,1,FALSE,Critical_W.Knowingly.M.L_N.Meidnow.F.R.wav
Exposure,Filler,1,9,04,Kaldemia,Set C,Nonword,Female,Left,Laminate,Set C,Word,Male,Right,1,FALSE,Critical_N.Kaldemia.F.L_W.Laminate.M.R.wav
Exposure,Filler,1,10,02,Keyboard,Set A,Word,Female,Left,Lenediaw,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Keyboard.F.L_N.Lenediaw.M.R.wav
Exposure,Filler,1,10,01,Kermimer,Set B,Nonword,Female,Right,Lethal,Set B,Word,Male,Left,1,FALSE,Critical_W.Lethal.M.L_N.Kermimer.F.R.wav
Exposure,Filler,1,10,04,Imdalier,Set C,Nonword,Female,Left,Liability,Set C,Word,Male,Right,1,FALSE,Critical_N.Imdalier.F.L_W.Liability.M.R.wav
Exposure,Filler,1,11,02,Lengthen,Set A,Word,Female,Left,Kelabidel,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Lengthen.F.L_N.Kelabidel.M.R.wav
Exposure,Filler,1,11,01,Itempider,Set B,Nonword,Female,Right,Lobbying,Set B,Word,Male,Left,1,FALSE,Critical_W.Lobbying.M.L_N.Itempider.F.R.wav
Exposure,Filler,1,11,04,Kloumidiger,Set C,Nonword,Female,Left,Marina,Set C,Word,Male,Right,1,FALSE,Critical_N.Kloumidiger.F.L_W.Marina.M.R.wav
Exposure,Filler,1,12,02,Lingering,Set A,Word,Female,Left,Inpaki,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Lingering.F.L_N.Inpaki.M.R.wav
Exposure,Filler,1,12,01,Aknid,Set B,Nonword,Female,Right,Membrane,Set B,Word,Male,Left,1,FALSE,Critical_W.Membrane.M.L_N.Aknid.F.R.wav
Exposure,Filler,1,12,04,Halomimoc,Set C,Nonword,Female,Left,Metrical,Set C,Word,Male,Right,1,FALSE,Critical_N.Halomimoc.F.L_W.Metrical.M.R.wav
Exposure,Filler,1,13,02,Melancholy,Set A,Word,Female,Left,Hintarber,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Melancholy.F.L_N.Hintarber.M.R.wav
Exposure,Filler,1,13,01,Ibirak,Set B,Nonword,Female,Right,Negate,Set B,Word,Male,Left,1,FALSE,Critical_W.Negate.M.L_N.Ibirak.F.R.wav
Exposure,Filler,1,13,04,Gerbualo,Set C,Nonword,Female,Left,Nightmare,Set C,Word,Male,Right,1,FALSE,Critical_N.Gerbualo.F.L_W.Nightmare.M.R.wav
Exposure,Filler,1,14,02,Napkin,Set A,Word,Female,Left,Gardimuallay,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Napkin.F.L_N.Gardimuallay.M.R.wav
Exposure,Filler,1,14,01,Halken,Set B,Nonword,Female,Right,Outnumber,Set B,Word,Male,Left,1,FALSE,Critical_W.Outnumber.M.L_N.Halken.F.R.wav
Exposure,Filler,1,14,04,Galliwinou,Set C,Nonword,Female,Left,Panicking,Set C,Word,Male,Right,1,FALSE,Critical_N.Galliwinou.F.L_W.Panicking.M.R.wav
Exposure,Filler,1,15,02,Ornament,Set A,Word,Female,Left,Gairelom,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Ornament.F.L_N.Gairelom.M.R.wav
Exposure,Filler,1,15,01,Ganla,Set B,Nonword,Female,Right,Parakeet,Set B,Word,Male,Left,1,FALSE,Critical_W.Parakeet.M.L_N.Ganla.F.R.wav
Exposure,Filler,1,15,04,Emhoutic,Set C,Nonword,Female,Left,Pilgrim,Set C,Word,Male,Right,1,FALSE,Critical_N.Emhoutic.F.L_W.Pilgrim.M.R.wav
Exposure,Filler,1,16,02,Pineapple,Set A,Word,Female,Left,Bikanian,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Pineapple.F.L_N.Bikanian.M.R.wav
Exposure,Filler,1,16,01,Dadigal,Set B,Nonword,Female,Right,Platonic,Set B,Word,Male,Left,1,FALSE,Critical_W.Platonic.M.L_N.Dadigal.F.R.wav
Exposure,Filler,1,16,04,Dilkuaund,Set C,Nonword,Female,Left,Predict,Set C,Word,Male,Right,1,FALSE,Critical_N.Dilkuaund.F.L_W.Predict.M.R.wav
Exposure,Filler,1,17,02,Purgatory,Set A,Word,Female,Left,Baliber,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Purgatory.F.L_N.Baliber.M.R.wav
Exposure,Filler,1,17,01,Bamtell,Set B,Nonword,Female,Right,Tactical,Set B,Word,Male,Left,1,FALSE,Critical_W.Tactical.M.L_N.Bamtell.F.R.wav
Exposure,Filler,1,17,04,Bowidai,Set C,Nonword,Female,Left,Terminal,Set C,Word,Male,Right,1,FALSE,Critical_N.Bowidai.F.L_W.Terminal.M.R.wav
Exposure,Filler,1,18,02,Therapeutic,Set A,Word,Female,Left,Amalar,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Therapeutic.F.L_N.Amalar.M.R.wav
Exposure,Filler,1,18,01,Anemer,Set B,Nonword,Female,Right,Titanium,Set B,Word,Male,Left,1,FALSE,Critical_W.Titanium.M.L_N.Anemer.F.R.wav
Exposure,Filler,1,18,04,Anolipa,Set C,Nonword,Female,Left,Turbulent,Set C,Word,Male,Right,1,FALSE,Critical_N.Anolipa.F.L_W.Turbulent.M.R.wav
Exposure,Filler,1,19,02,Tutorial,Set A,Word,Female,Left,Ailounam,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Tutorial.F.L_N.Ailounam.M.R.wav
Exposure,Filler,1,19,01,Lilgrai,Set B,Nonword,Female,Right,Umbrella,Set B,Word,Male,Left,1,FALSE,Critical_W.Umbrella.M.L_N.Lilgrai.F.R.wav
Exposure,Filler,1,19,04,Alnadiro,Set C,Nonword,Female,Left,Undermine,Set C,Word,Male,Right,1,FALSE,Critical_N.Alnadiro.F.L_W.Undermine.M.R.wav
Exposure,Filler,1,20,02,Wealthy,Set A,Word,Female,Left,Acomining,Set A,Nonword,Male,Right,1,FALSE,Critical_W.Wealthy.F.L_N.Acomining.M.R.wav
Exposure,Filler,1,20,01,Admunker,Set B,Nonword,Female,Right,Worldly,Set B,Word,Male,Left,1,FALSE,Critical_W.Worldly.M.L_N.Admunker.F.R.wav
Exposure,Filler,1,20,04,Aigi,Set C,Nonword,Female,Left,Wrinkle,Set C,Word,Male,Right,1,FALSE,Critical_N.Aigi.F.L_W.Wrinkle.M.R.wav
