"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"1","Exposure","Critical",1,1,"Ambition","Materials A","Sh","Parasite","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Ambition.M.L_NAS.Parasite.F.R.wav"
"2","Exposure","Critical",1,2,"Machinery","Materials A","Sh","Obscene","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Machinery.M.L_NAS.Obscene.F.R.wav"
"3","Exposure","Critical",1,3,"Brochure","Materials A","Sh","Medicine","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Brochure.M.L_NAS.Medicine.F.R.wav"
"4","Exposure","Critical",1,4,"Official","Materials A","Sh","Tennessee","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Official.M.L_NAS.Tennessee.F.R.wav"
"5","Exposure","Critical",1,5,"Crucial","Materials A","Sh","Penninsula","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Crucial.M.L_NAS.Penninsula.F.R.wav"
"6","Exposure","Critical",1,6,"Pediatrician","Materials A","Sh","Hallucinate","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Pediatrician.M.L_NAS.Hallucinate.F.R.wav"
"7","Exposure","Critical",1,7,"Flourishing","Materials A","Sh","Arkansas","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Flourishing.M.L_NAS.Arkansas.F.R.wav"
"8","Exposure","Critical",1,8,"Reassure","Materials A","Sh","Compensate","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Reassure.M.L_NAS.Compensate.F.R.wav"
"9","Exposure","Critical",1,9,"Graduation","Materials A","Sh","Dinosaur","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Graduation.M.L_NAS.Dinosaur.F.R.wav"
"10","Exposure","Critical",1,10,"Vacation","Materials A","Sh","Rehearsal","Materials B","S","Unshifted","Male","Left","Female","Right",1,"Critical_07.A_Sh.Vacation.M.L_NAS.Rehearsal.F.R.wav"
"11","Exposure","Critical",1,11,"Pregnancy","Materials B","S","Initial","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Pregnancy.M.L_A_Ash.Initial.F.R.wav"
"12","Exposure","Critical",1,12,"Democracy","Materials B","S","Beneficial","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Democracy.M.L_A_Ash.Beneficial.F.R.wav"
"13","Exposure","Critical",1,13,"Embassy","Materials B","S","Negotiate","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Embassy.M.L_A_Ash.Negotiate.F.R.wav"
"14","Exposure","Critical",1,14,"Legacy","Materials B","S","Commercial","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Legacy.M.L_A_Ash.Commercial.F.R.wav"
"15","Exposure","Critical",1,15,"Reconcile","Materials B","S","Parachute","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Reconcile.M.L_A_Ash.Parachute.F.R.wav"
"16","Exposure","Critical",1,16,"Personal","Materials B","S","Efficient","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Personal.M.L_A_Ash.Efficient.F.R.wav"
"17","Exposure","Critical",1,17,"Eraser","Materials B","S","Publisher","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Eraser.M.L_A_Ash.Publisher.F.R.wav"
"18","Exposure","Critical",1,18,"Episode","Materials B","S","Glacier","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Episode.M.L_A_Ash.Glacier.F.R.wav"
"19","Exposure","Critical",1,19,"Literacy","Materials B","S","Refreshing","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Literacy.M.L_A_Ash.Refreshing.F.R.wav"
"20","Exposure","Critical",1,20,"Coliseum","Materials B","S","Impatient","Materials A","Sh","Shifted","Male","Left","Female","Right",1,"Critical_07.B_As.Coliseum.M.L_A_Ash.Impatient.F.R.wav"
"21","Exposure","Filler",1,1,"America","Set A","Word","Wominid","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.America.M.L_N.Wominid.F.R.wav"
"22","Exposure","Filler",1,1,"Bakery","Set B","Word","Wojalto","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Bakery.F.R_N.Wojalto.M.L.wav"
"23","Exposure","Filler",1,1,"Ballerina","Set C","Word","Youmgel","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Ballerina.F.L_N.Youmgel.M.R.wav"
"24","Exposure","Filler",1,2,"Blueberry","Set A","Word","Ungelnin","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Blueberry.M.L_N.Ungelnin.F.R.wav"
"25","Exposure","Filler",1,2,"Bullying","Set B","Word","Tounamplem","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Bullying.F.R_N.Tounamplem.M.L.wav"
"26","Exposure","Filler",1,2,"Burglary","Set C","Word","Tymolape","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Burglary.F.L_N.Tymolape.M.R.wav"
"27","Exposure","Filler",1,3,"Camera","Set A","Word","Tilegkalo","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Camera.M.L_N.Tilegkalo.F.R.wav"
"28","Exposure","Filler",1,3,"Continually","Set B","Word","Ryligal","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Continually.F.R_N.Ryligal.M.L.wav"
"29","Exposure","Filler",1,3,"Domineering","Set C","Word","Tamical","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Domineering.F.L_N.Tamical.M.R.wav"
"30","Exposure","Filler",1,4,"Directory","Set A","Word","Rimkeluwar","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Directory.M.L_N.Rimkeluwar.F.R.wav"
"31","Exposure","Filler",1,4,"Document","Set B","Word","Rawamtee","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Document.F.R_N.Rawamtee.M.L.wav"
"32","Exposure","Filler",1,4,"Embody","Set C","Word","Rengime","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Embody.F.L_N.Rengime.M.R.wav"
"33","Exposure","Filler",1,5,"Dynamite","Set A","Word","Rakil","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Dynamite.M.L_N.Rakil.F.R.wav"
"34","Exposure","Filler",1,5,"Eighty","Set B","Word","Ploupelai","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Eighty.F.R_N.Ploupelai.M.L.wav"
"35","Exposure","Filler",1,5,"Gullible","Set C","Word","Pourilar","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Gullible.F.L_N.Pourilar.M.R.wav"
"36","Exposure","Filler",1,6,"Gardenia","Set A","Word","Perkum","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Gardenia.M.L_N.Perkum.F.R.wav"
"37","Exposure","Filler",1,6,"Grammatical","Set B","Word","Omperoge","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Grammatical.F.R_N.Omperoge.M.L.wav"
"38","Exposure","Filler",1,6,"Honeymoon","Set C","Word","Almikquary","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Honeymoon.F.L_N.Almikquary.M.R.wav"
"39","Exposure","Filler",1,7,"Hamburger","Set A","Word","Nomerae","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Hamburger.M.L_N.Nomerae.F.R.wav"
"40","Exposure","Filler",1,7,"Identical","Set B","Word","Nempring","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Identical.F.R_N.Nempring.M.L.wav"
"41","Exposure","Filler",1,7,"Illuminate","Set C","Word","Niritaly","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Illuminate.F.L_N.Niritaly.M.R.wav"
"42","Exposure","Filler",1,8,"Hurdle","Set A","Word","Namuary","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Hurdle.M.L_N.Namuary.F.R.wav"
"43","Exposure","Filler",1,8,"Interior","Set B","Word","Mibgem","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Interior.F.R_N.Mibgem.M.L.wav"
"44","Exposure","Filler",1,8,"Ironic","Set C","Word","Makid","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Ironic.F.L_N.Makid.M.R.wav"
"45","Exposure","Filler",1,9,"Inhabit","Set A","Word","Logelai","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Inhabit.M.L_N.Logelai.F.R.wav"
"46","Exposure","Filler",1,9,"Knowingly","Set B","Word","Meidnow","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Knowingly.F.R_N.Meidnow.M.L.wav"
"47","Exposure","Filler",1,9,"Laminate","Set C","Word","Kaldemia","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Laminate.F.L_N.Kaldemia.M.R.wav"
"48","Exposure","Filler",1,10,"Keyboard","Set A","Word","Lenediaw","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Keyboard.M.L_N.Lenediaw.F.R.wav"
"49","Exposure","Filler",1,10,"Lethal","Set B","Word","Kermimer","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Lethal.F.R_N.Kermimer.M.L.wav"
"50","Exposure","Filler",1,10,"Liability","Set C","Word","Imdalier","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Liability.F.L_N.Imdalier.M.R.wav"
"51","Exposure","Filler",1,11,"Lengthen","Set A","Word","Kelabidel","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Lengthen.M.L_N.Kelabidel.F.R.wav"
"52","Exposure","Filler",1,11,"Lobbying","Set B","Word","Itempider","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Lobbying.F.R_N.Itempider.M.L.wav"
"53","Exposure","Filler",1,11,"Marina","Set C","Word","Kloumidiger","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Marina.F.L_N.Kloumidiger.M.R.wav"
"54","Exposure","Filler",1,12,"Lingering","Set A","Word","Inpaki","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Lingering.M.L_N.Inpaki.F.R.wav"
"55","Exposure","Filler",1,12,"Membrane","Set B","Word","Aknid","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Membrane.F.R_N.Aknid.M.L.wav"
"56","Exposure","Filler",1,12,"Metrical","Set C","Word","Halomimoc","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Metrical.F.L_N.Halomimoc.M.R.wav"
"57","Exposure","Filler",1,13,"Melancholy","Set A","Word","Hintarber","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Melancholy.M.L_N.Hintarber.F.R.wav"
"58","Exposure","Filler",1,13,"Negate","Set B","Word","Ibirak","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Negate.F.R_N.Ibirak.M.L.wav"
"59","Exposure","Filler",1,13,"Nightmare","Set C","Word","Gerbualo","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Nightmare.F.L_N.Gerbualo.M.R.wav"
"60","Exposure","Filler",1,14,"Napkin","Set A","Word","Gardimuallay","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Napkin.M.L_N.Gardimuallay.F.R.wav"
"61","Exposure","Filler",1,14,"Outnumber","Set B","Word","Halken","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Outnumber.F.R_N.Halken.M.L.wav"
"62","Exposure","Filler",1,14,"Panicking","Set C","Word","Galliwinou","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Panicking.F.L_N.Galliwinou.M.R.wav"
"63","Exposure","Filler",1,15,"Ornament","Set A","Word","Gairelom","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Ornament.M.L_N.Gairelom.F.R.wav"
"64","Exposure","Filler",1,15,"Parakeet","Set B","Word","Ganla","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Parakeet.F.R_N.Ganla.M.L.wav"
"65","Exposure","Filler",1,15,"Pilgrim","Set C","Word","Emhoutic","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Pilgrim.F.L_N.Emhoutic.M.R.wav"
"66","Exposure","Filler",1,16,"Pineapple","Set A","Word","Bikanian","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Pineapple.M.L_N.Bikanian.F.R.wav"
"67","Exposure","Filler",1,16,"Platonic","Set B","Word","Dadigal","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Platonic.F.R_N.Dadigal.M.L.wav"
"68","Exposure","Filler",1,16,"Predict","Set C","Word","Dilkuaund","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Predict.F.L_N.Dilkuaund.M.R.wav"
"69","Exposure","Filler",1,17,"Purgatory","Set A","Word","Baliber","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Purgatory.M.L_N.Baliber.F.R.wav"
"70","Exposure","Filler",1,17,"Tactical","Set B","Word","Bamtell","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Tactical.F.R_N.Bamtell.M.L.wav"
"71","Exposure","Filler",1,17,"Terminal","Set C","Word","Bowidai","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Terminal.F.L_N.Bowidai.M.R.wav"
"72","Exposure","Filler",1,18,"Therapeutic","Set A","Word","Amalar","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Therapeutic.M.L_N.Amalar.F.R.wav"
"73","Exposure","Filler",1,18,"Titanium","Set B","Word","Anemer","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Titanium.F.R_N.Anemer.M.L.wav"
"74","Exposure","Filler",1,18,"Turbulent","Set C","Word","Anolipa","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Turbulent.F.L_N.Anolipa.M.R.wav"
"75","Exposure","Filler",1,19,"Tutorial","Set A","Word","Ailounam","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Tutorial.M.L_N.Ailounam.F.R.wav"
"76","Exposure","Filler",1,19,"Umbrella","Set B","Word","Lilgrai","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Umbrella.F.R_N.Lilgrai.M.L.wav"
"77","Exposure","Filler",1,19,"Undermine","Set C","Word","Alnadiro","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Undermine.F.L_N.Alnadiro.M.R.wav"
"78","Exposure","Filler",1,20,"Wealthy","Set A","Word","Acomining","Set A","Nonword","4","Male","Left","Female","Right",1,"Filler_A.04_W.Wealthy.M.L_N.Acomining.F.R.wav"
"79","Exposure","Filler",1,20,"Worldly","Set B","Word","Admunker","Set B","Nonword","3","Female","Right","Male","Left",1,"Filler_B.03_W.Worldly.F.R_N.Admunker.M.L.wav"
"80","Exposure","Filler",1,20,"Wrinkle","Set C","Word","Aigi","Set C","Nonword","2","Female","Left","Male","Right",1,"Filler_C.02_W.Wrinkle.F.L_N.Aigi.M.R.wav"
"81","Test","Test",3,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.03_F.1.ashi.25.wav"
"82","Test","Test",4,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.04_F.1.ashi.25.wav"
"83","Test","Test",7,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.07_F.1.ashi.25.wav"
"84","Test","Test",8,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.08_F.1.ashi.25.wav"
"85","Test","Test",11,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.11_F.1.ashi.25.wav"
"86","Test","Test",12,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.12_F.1.ashi.25.wav"
"87","Test","Test",1,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.01_M.1.ashi.25.wav"
"88","Test","Test",2,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.02_M.1.ashi.25.wav"
"89","Test","Test",5,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.05_M.1.ashi.25.wav"
"90","Test","Test",6,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.06_M.1.ashi.25.wav"
"91","Test","Test",9,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.09_M.1.ashi.25.wav"
"92","Test","Test",10,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.10_M.1.ashi.25.wav"
"93","Test","Test",3,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.03_F.2.ashi.30.wav"
"94","Test","Test",4,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.04_F.2.ashi.30.wav"
"95","Test","Test",7,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.07_F.2.ashi.30.wav"
"96","Test","Test",8,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.08_F.2.ashi.30.wav"
"97","Test","Test",11,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.11_F.2.ashi.30.wav"
"98","Test","Test",12,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.12_F.2.ashi.30.wav"
"99","Test","Test",1,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.01_M.2.ashi.30.wav"
"100","Test","Test",2,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.02_M.2.ashi.30.wav"
"101","Test","Test",5,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.05_M.2.ashi.30.wav"
"102","Test","Test",6,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.06_M.2.ashi.30.wav"
"103","Test","Test",9,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.09_M.2.ashi.30.wav"
"104","Test","Test",10,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.10_M.2.ashi.30.wav"
"105","Test","Test",3,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.03_F.3.ashi.40.wav"
"106","Test","Test",4,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.04_F.3.ashi.40.wav"
"107","Test","Test",7,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.07_F.3.ashi.40.wav"
"108","Test","Test",8,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.08_F.3.ashi.40.wav"
"109","Test","Test",11,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.11_F.3.ashi.40.wav"
"110","Test","Test",12,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.12_F.3.ashi.40.wav"
"111","Test","Test",1,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.01_M.3.ashi.40.wav"
"112","Test","Test",2,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.02_M.3.ashi.40.wav"
"113","Test","Test",5,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.05_M.3.ashi.40.wav"
"114","Test","Test",6,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.06_M.3.ashi.40.wav"
"115","Test","Test",9,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.09_M.3.ashi.40.wav"
"116","Test","Test",10,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.10_M.3.ashi.40.wav"
"117","Test","Test",3,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.03_F.4.ashi.45.wav"
"118","Test","Test",4,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.04_F.4.ashi.45.wav"
"119","Test","Test",7,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.07_F.4.ashi.45.wav"
"120","Test","Test",8,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.08_F.4.ashi.45.wav"
"121","Test","Test",11,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.11_F.4.ashi.45.wav"
"122","Test","Test",12,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.12_F.4.ashi.45.wav"
"123","Test","Test",1,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.01_M.4.ashi.45.wav"
"124","Test","Test",2,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.02_M.4.ashi.45.wav"
"125","Test","Test",5,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.05_M.4.ashi.45.wav"
"126","Test","Test",6,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.06_M.4.ashi.45.wav"
"127","Test","Test",9,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.09_M.4.ashi.45.wav"
"128","Test","Test",10,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.10_M.4.ashi.45.wav"
"129","Test","Test",3,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.03_F.5.ashi.50.wav"
"130","Test","Test",4,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.04_F.5.ashi.50.wav"
"131","Test","Test",7,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.07_F.5.ashi.50.wav"
"132","Test","Test",8,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.08_F.5.ashi.50.wav"
"133","Test","Test",11,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.11_F.5.ashi.50.wav"
"134","Test","Test",12,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.12_F.5.ashi.50.wav"
"135","Test","Test",1,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.01_M.5.ashi.50.wav"
"136","Test","Test",2,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.02_M.5.ashi.50.wav"
"137","Test","Test",5,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.05_M.5.ashi.50.wav"
"138","Test","Test",6,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.06_M.5.ashi.50.wav"
"139","Test","Test",9,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.09_M.5.ashi.50.wav"
"140","Test","Test",10,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.10_M.5.ashi.50.wav"
"141","Test","Test",3,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.03_F.6.ashi.70.wav"
"142","Test","Test",4,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.04_F.6.ashi.70.wav"
"143","Test","Test",7,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.07_F.6.ashi.70.wav"
"144","Test","Test",8,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.08_F.6.ashi.70.wav"
"145","Test","Test",11,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.11_F.6.ashi.70.wav"
"146","Test","Test",12,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_B.12_F.6.ashi.70.wav"
"147","Test","Test",1,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.01_M.6.ashi.70.wav"
"148","Test","Test",2,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.02_M.6.ashi.70.wav"
"149","Test","Test",5,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.05_M.6.ashi.70.wav"
"150","Test","Test",6,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.06_M.6.ashi.70.wav"
"151","Test","Test",9,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.09_M.6.ashi.70.wav"
"152","Test","Test",10,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_B.10_M.6.ashi.70.wav"
